week,orders,monthly_active_users,new_users,arpu_aed,avg_delivery_min,promo_spend_aed,revenue_aed,repeat_order_rate
2026-05-04,48200,31500,4100,58.2,29,42000,412000,0.61
2026-05-11,49800,32100,4300,57.9,30,45000,421000,0.62
2026-05-18,51200,32800,4200,57.5,31,47000,428000,0.61
2026-05-25,52100,33200,3900,56.8,33,52000,431000,0.60
2026-06-01,52800,33600,3600,55.9,34,58000,429000,0.59
2026-06-08,53100,33900,3400,55.1,36,63000,425000,0.58
2026-06-15,53400,34000,3100,54.2,38,69000,419000,0.56
2026-06-22,53200,34100,2900,53.6,39,74000,414000,0.55
2026-06-29,52900,34000,2700,53.0,41,78000,407000,0.53
2026-07-06,52400,33800,2500,52.5,42,83000,399000,0.52
2026-07-13,51800,33500,2400,52.1,44,86000,391000,0.51
2026-07-20,51100,33100,2200,51.8,45,89000,384000,0.49
